Winner,Match Result,Loser,Year,Final Result,Round
 Germany,3–3, France,1982,5–4,Semi-finals
 France,1–1, Brazil,1986,4–3,Quarter-finals
 Germany,0–0, Mexico,1986,4–1,Quarter-finals
 Belgium,1–1, Spain,1986,5–4,Quarter-finals
 Republic of Ireland,0–0, Romania,1990,5–4,Second round
 Argentina,0–0, Yugoslavia,1990,3–2,Quarter-finals
 Argentina,1–1, Italy,1990,4–3,Semi-finals
 Germany,1–1, England,1990,4–3,Semi-finals
 Bulgaria,1–1, Mexico,1994,3–1,Second round
 Sweden,2–2, Romania,1994,5–4,Quarter-finals
 Brazil,0–0, Italy,1994,3–2,Final
 Argentina,2–2, England,1998,4–3,Second round
 France,0–0, Italy,1998,4–3,Quarter-finals
 Brazil,1–1, Netherlands,1998,4–2,Semi-finals
 Spain,1–1, Republic of Ireland,2002,3–2,Second round
 South Korea,0–0, Spain,2002,5–3,Quarter-finals
 Ukraine,0–0,  Switzerland,2006,3–0,Second round
 Germany,1–1, Argentina,2006,4–2,Quarter-finals
 Portugal,0–0, England,2006,3–1,Quarter-finals
 Italy,1–1, France,2006,5–3,Final
 Paraguay,0–0, Japan,2010,5–3,Second round
 Uruguay,1–1, Ghana,2010,4–2,Quarter-finals
 Brazil,1–1, Chile,2014,3–2,Second round
 Costa Rica,1–1, Greece,2014,5–3,Second round
 Netherlands,0–0, Costa Rica,2014,4–3,Quarter-finals
 Argentina,0–0, Netherlands,2014,4–2,Semi-finals
